ID	sample	fq1
2275X25	IP_WAGO-1_dpf-3_null_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_dpf-3_null_A_2275F25.fastq.gz
2275X26	IP_WAGO-1_dpf-3_null_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_dpf-3_null_B_2275F26.fastq.gz
2275X27	IP_WAGO-1_dpf-3_null_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_dpf-3_null_C_2275F27.fastq.gz
2275X28	IP_WAGO-1_P3G_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_P3G_A_2275F28.fastq.gz
2275X29	IP_WAGO-1_P3G_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_P3G_B_2275F29.fastq.gz
2275X30	IP_WAGO-1_P3G_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-1_P3G_C_2275F30.fastq.gz
2275X31	IP_WAGO-3_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-3_A_2275F31.fastq.gz
2275X32	IP_WAGO-3_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-3_B_2275F32.fastq.gz
2275X33	IP_WAGO-3_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-3_C_2275F33.fastq.gz
2275X34	IP_WAGO-3_dpf-3_null_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-3_dpf-3_null_A_2275F34.fastq.gz
2275X35	IP_WAGO-3_dpf-3_null_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-3_dpf-3_null_B_2275F35.fastq.gz
2275X36	IP_WAGO-3_dpf-3_null_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-3_dpf-3_null_C_2275F36.fastq.gz
2275X37	IP_WAGO-4_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-4_A_2275F37.fastq.gz
2275X38	IP_WAGO-4_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-4_B_2275F38.fastq.gz
2275X39	IP_WAGO-4_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-4_C_2275F39.fastq.gz
2275X40	IP_WAGO-4_dpf-3_null_A	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-4_dpf-3_null_A_2275F40.fastq.gz
2275X41	IP_WAGO-4_dpf-3_null_B	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-4_dpf-3_null_B_2275F41.fastq.gz
2275X42	IP_WAGO-4_dpf-3_null_C	/tungstenfs/scratch/ggrossha/gypafoiv/samples/2275R_small_RNAs_bound_by_WAGOs/IP_WAGO-4_dpf-3_null_C_2275F42.fastq.gz
